Date;Location;New Cases
3/16/2020;Jawa Barat;0
3/16/2020;Jawa Tengah;1
3/16/2020;Kalimantan Timur;1
3/16/2020;Riau;0
3/16/2020;Sulawesi Tenggara;2
3/17/2020;Bali;0
3/17/2020;Banten;0
3/17/2020;DKI Jakarta;2
3/17/2020;Daerah Istimewa Yogyakarta;0
3/17/2020;Indonesia;38
3/17/2020;Jawa Barat;11
3/17/2020;Jawa Tengah;1
3/17/2020;Kalimantan Timur;1
3/17/2020;Riau;0
3/17/2020;Sulawesi Tenggara;0
3/17/2020;Sumatera Utara;1
3/18/2020;Bali;0
3/18/2020;Banten;0
3/18/2020;DKI Jakarta;1
3/18/2020;Daerah Istimewa Yogyakarta;0
3/18/2020;Indonesia;55
3/18/2020;Jawa Barat;4
3/18/2020;Jawa Tengah;3
3/18/2020;Jawa Timur;7
3/18/2020;Kalimantan Timur;0
3/18/2020;Riau;0
3/18/2020;Sulawesi Tenggara;0
3/18/2020;Sumatera Utara;0
3/19/2020;Bali;1
3/19/2020;Banten;0
3/19/2020;DKI Jakarta;2
3/19/2020;Daerah Istimewa Yogyakarta;0
3/19/2020;Indonesia;82
3/19/2020;Jawa Barat;5
3/19/2020;Jawa Tengah;2
3/19/2020;Jawa Timur;3
3/19/2020;Kalimantan Timur;0
3/19/2020;Kepulauan Riau;1
3/19/2020;Riau;0
3/19/2020;Sulawesi Selatan;2
3/19/2020;Sulawesi Tenggara;0
3/19/2020;Sumatera Utara;0
3/20/2020;Bali;0
3/20/2020;Banten;0
3/20/2020;DKI Jakarta;5
3/20/2020;Daerah Istimewa Yogyakarta;1
3/20/2020;Indonesia;60
3/20/2020;Jambi;1
3/20/2020;Jawa Barat;16
3/20/2020;Jawa Tengah;4
3/20/2020;Jawa Timur;9
3/20/2020;Kalimantan Timur;0
3/20/2020;Kepulauan Riau;0
3/20/2020;Riau;0
3/20/2020;Sulawesi Selatan;0
3/20/2020;Sulawesi Tenggara;0
3/20/2020;Sumatera Utara;0
3/21/2020;Bali;0
3/21/2020;Banten;0
3/21/2020;DKI Jakarta;8
3/21/2020;Daerah Istimewa Yogyakarta;0
3/21/2020;Indonesia;81
3/21/2020;Jambi;0
3/21/2020;Jawa Barat;5
3/21/2020;Jawa Tengah;1
3/21/2020;Jawa Timur;9
3/21/2020;Kalimantan Timur;0
3/21/2020;Kepulauan Riau;0
3/21/2020;Riau;0
3/21/2020;Sulawesi Selatan;0
3/21/2020;Sulawesi Tenggara;0
3/21/2020;Sumatera Utara;0
3/22/2020;Bali;0
3/22/2020;Banten;0
3/22/2020;DKI Jakarta;2
3/22/2020;Daerah Istimewa Yogyakarta;0
3/22/2020;Indonesia;64
3/22/2020;Jambi;0
3/22/2020;Jawa Barat;3
3/22/2020;Jawa Tengah;1
3/22/2020;Jawa Timur;14
3/22/2020;Kalimantan Timur;0
3/22/2020;Kepulauan Riau;0
3/22/2020;Maluku;1
3/22/2020;Papua;2
3/22/2020;Riau;0
3/22/2020;Sulawesi Selatan;0
3/22/2020;Sulawesi Tenggara;0
3/22/2020;Sumatera Utara;0
3/23/2020;Bali;0
3/23/2020;Banten;0
3/23/2020;DKI Jakarta;0
3/23/2020;Daerah Istimewa Yogyakarta;0
3/23/2020;Indonesia;65
3/23/2020;Jambi;0
3/23/2020;Jawa Barat;6
3/23/2020;Jawa Tengah;3
3/23/2020;Jawa Timur;2
3/23/2020;Kalimantan Timur;1
3/23/2020;Kepulauan Riau;0
3/23/2020;Maluku;0
3/23/2020;Maluku Utara;1
3/23/2020;Papua;0
3/23/2020;Riau;0
3/23/2020;Sulawesi Selatan;0
3/23/2020;Sulawesi Tenggara;0
3/23/2020;Sumatera Selatan;1
3/23/2020;Sumatera Utara;0
3/24/2020;Bali;0
3/24/2020;Banten;0
3/24/2020;DKI Jakarta;16
3/24/2020;Daerah Istimewa Yogyakarta;0
3/24/2020;Indonesia;106
3/24/2020;Jambi;0
3/24/2020;Jawa Barat;2
3/24/2020;Jawa Tengah;3
3/24/2020;Jawa Timur;3
3/24/2020;Kalimantan Timur;0
3/24/2020;Kepulauan Riau;0
3/24/2020;Maluku;0
3/24/2020;Maluku Utara;0
3/24/2020;Papua;0
3/24/2020;Riau;0
3/24/2020;Sulawesi Selatan;2
3/24/2020;Sulawesi Tenggara;0
3/24/2020;Sumatera Selatan;0
3/24/2020;Sumatera Utara;0
3/25/2020;Bali;0
3/25/2020;Banten;0
3/25/2020;DKI Jakarta;1
3/25/2020;Daerah Istimewa Yogyakarta;1
3/25/2020;Indonesia;105
3/25/2020;Jambi;0
3/25/2020;Jawa Barat;5
3/25/2020;Jawa Tengah;23
3/25/2020;Jawa Timur;9
3/25/2020;Kalimantan Timur;0
3/25/2020;Kepulauan Riau;0
3/25/2020;Maluku;0
3/25/2020;Maluku Utara;0
3/25/2020;Papua;0
3/25/2020;Riau;0
3/25/2020;Sulawesi Selatan;9
3/25/2020;Sulawesi Tenggara;0
3/25/2020;Sumatera Selatan;0
3/25/2020;Sumatera Utara;0
3/26/2020;Aceh;1
3/26/2020;Bali;0
3/26/2020;Banten;0
3/26/2020;DKI Jakarta;57
3/26/2020;Daerah Istimewa Yogyakarta;0
3/26/2020;Indonesia;103
3/26/2020;Jambi;0
3/26/2020;Jawa Barat;5
3/26/2020;Jawa Tengah;4
3/26/2020;Jawa Timur;13
3/26/2020;Kalimantan Tengah;2
3/26/2020;Kalimantan Timur;0
3/26/2020;Kepulauan Riau;0
3/26/2020;Lampung;2
3/26/2020;Maluku;0
3/26/2020;Maluku Utara;0
3/26/2020;Papua;4
3/26/2020;Riau;0
3/26/2020;Sulawesi Selatan;14
3/26/2020;Sulawesi Tengah;1
3/26/2020;Sulawesi Tenggara;0
3/26/2020;Sulawesi Utara;1
3/26/2020;Sumatera Barat;3
3/26/2020;Sumatera Selatan;0
3/26/2020;Sumatera Utara;0
3/27/2020;Aceh;3
3/27/2020;Bali;0
3/27/2020;Banten;25
3/27/2020;DKI Jakarta;74
3/27/2020;Daerah Istimewa Yogyakarta;1
3/27/2020;Indonesia;153
3/27/2020;Jambi;0
3/27/2020;Jawa Barat;16
3/27/2020;Jawa Tengah;8
3/27/2020;Jawa Timur;3
3/27/2020;Kalimantan Tengah;0
3/27/2020;Kalimantan Timur;0
3/27/2020;Kepulauan Riau;0
3/27/2020;Lampung;1
3/27/2020;Maluku;0
3/27/2020;Maluku Utara;0
3/27/2020;Papua;0
3/27/2020;Papua Barat;2
3/27/2020;Riau;0
3/27/2020;Sulawesi Selatan;2
3/27/2020;Sulawesi Tengah;0
3/27/2020;Sulawesi Tenggara;0
3/27/2020;Sulawesi Utara;0
3/27/2020;Sumatera Barat;2
3/27/2020;Sumatera Selatan;0
3/27/2020;Sumatera Utara;0
3/28/2020;Aceh;1
3/28/2020;Bali;0
3/28/2020;Banten;10
3/28/2020;DKI Jakarta;48
3/28/2020;Daerah Istimewa Yogyakarta;0
3/28/2020;Indonesia;109
3/28/2020;Jambi;0
3/28/2020;Jawa Barat;19
3/28/2020;Jawa Tengah;15
3/28/2020;Jawa Timur;14
3/28/2020;Kalimantan Tengah;1
3/28/2020;Kalimantan Timur;5
3/28/2020;Kalimantan Utara;2
3/28/2020;Kepulauan Riau;1
3/28/2020;Lampung;0
3/28/2020;Maluku;0
3/28/2020;Maluku Utara;0
3/28/2020;Papua;0
3/28/2020;Papua Barat;0
3/28/2020;Riau;0
3/28/2020;Sulawesi Barat;1
3/28/2020;Sulawesi Selatan;3
3/28/2020;Sulawesi Tengah;1
3/28/2020;Sulawesi Tenggara;0
3/28/2020;Sulawesi Utara;0
3/28/2020;Sumatera Barat;0
3/28/2020;Sumatera Selatan;1
3/28/2020;Sumatera Utara;0
3/29/2020;Aceh;0
3/29/2020;Bali;1
3/29/2020;Banten;2
3/29/2020;DKI Jakarta;52
3/29/2020;Daerah Istimewa Yogyakarta;0
3/29/2020;Indonesia;130
3/29/2020;Jambi;0
3/29/2020;Jawa Barat;27
3/29/2020;Jawa Tengah;11
3/29/2020;Jawa Timur;12
3/29/2020;Kalimantan Barat;7
3/29/2020;Kalimantan Tengah;0
3/29/2020;Kalimantan Timur;0
3/29/2020;Kalimantan Utara;0
3/29/2020;Kepulauan Riau;0
3/29/2020;Lampung;0
3/29/2020;Maluku;0
3/29/2020;Maluku Utara;0
3/29/2020;Papua;2
3/29/2020;Papua Barat;0
3/29/2020;Riau;1
3/29/2020;Sulawesi Barat;0
3/29/2020;Sulawesi Selatan;15
3/29/2020;Sulawesi Tengah;0
3/29/2020;Sulawesi Tenggara;0
3/29/2020;Sulawesi Utara;0
3/29/2020;Sumatera Barat;0
3/29/2020;Sumatera Selatan;0
3/29/2020;Sumatera Utara;0
3/30/2020;Aceh;0
3/30/2020;Bali;9
3/30/2020;Banten;22
3/30/2020;DKI Jakarta;33
3/30/2020;Daerah Istimewa Yogyakarta;2
3/30/2020;Indonesia;129
3/30/2020;Jambi;1
3/30/2020;Jawa Barat;19
3/30/2020;Jawa Tengah;17
3/30/2020;Jawa Timur;7
3/30/2020;Kalimantan Barat;1
3/30/2020;Kalimantan Selatan;5
3/30/2020;Kalimantan Tengah;0
3/30/2020;Kalimantan Timur;0
3/30/2020;Kalimantan Utara;0
3/30/2020;Kepulauan Bangka Belitung;1
3/30/2020;Kepulauan Riau;2
3/30/2020;Lampung;4
3/30/2020;Maluku;0
3/30/2020;Maluku Utara;0
3/30/2020;Papua;0
3/30/2020;Papua Barat;0
3/30/2020;Riau;1
3/30/2020;Sulawesi Barat;0
3/30/2020;Sulawesi Selatan;4
3/30/2020;Sulawesi Tengah;0
3/30/2020;Sulawesi Tenggara;0
3/30/2020;Sulawesi Utara;0
3/30/2020;Sumatera Barat;3
3/30/2020;Sumatera Selatan;0
3/30/2020;Sumatera Utara;6
3/31/2020;Aceh;0
3/31/2020;Bali;0
3/31/2020;Banten;14
3/31/2020;Bengkulu;1
3/31/2020;DKI Jakarta;44
3/31/2020;Daerah Istimewa Yogyakarta;5
3/31/2020;Indonesia;114
3/31/2020;Jambi;0
3/31/2020;Jawa Barat;7
3/31/2020;Jawa Tengah;15
3/31/2020;Jawa Timur;1
3/31/2020;Kalimantan Barat;0
3/31/2020;Kalimantan Selatan;2
3/31/2020;Kalimantan Tengah;4
3/31/2020;Kalimantan Timur;3
3/31/2020;Kalimantan Utara;0
3/31/2020;Kepulauan Bangka Belitung;1
3/31/2020;Kepulauan Riau;1
3/31/2020;Lampung;0
3/31/2020;Maluku;0
3/31/2020;Maluku Utara;0
3/31/2020;Nusa Tenggara Barat;2
3/31/2020;Papua;1
3/31/2020;Papua Barat;0
3/31/2020;Riau;0
3/31/2020;Sulawesi Barat;0
3/31/2020;Sulawesi Selatan;0
3/31/2020;Sulawesi Tengah;0
3/31/2020;Sulawesi Tenggara;0
3/31/2020;Sulawesi Utara;0
3/31/2020;Sumatera Barat;0
3/31/2020;Sumatera Selatan;3
3/31/2020;Sumatera Utara;6
4/1/2020;Aceh;0
4/1/2020;Bali;6
4/1/2020;Banten;12
4/1/2020;Bengkulu;0
4/1/2020;DKI Jakarta;59
4/1/2020;Daerah Istimewa Yogyakarta;6
4/1/2020;Indonesia;149
4/1/2020;Jambi;0
4/1/2020;Jawa Barat;20
4/1/2020;Jawa Tengah;19
4/1/2020;Jawa Timur;9
4/1/2020;Kalimantan Barat;1
4/1/2020;Kalimantan Selatan;0
4/1/2020;Kalimantan Tengah;0
4/1/2020;Kalimantan Timur;1
4/1/2020;Kalimantan Utara;0
4/1/2020;Kepulauan Bangka Belitung;0
4/1/2020;Kepulauan Riau;0
4/1/2020;Lampung;0
4/1/2020;Maluku;0
4/1/2020;Maluku Utara;0
4/1/2020;Nusa Tenggara Barat;2
4/1/2020;Papua;0
4/1/2020;Papua Barat;0
4/1/2020;Riau;0
4/1/2020;Sulawesi Barat;0
4/1/2020;Sulawesi Selatan;14
4/1/2020;Sulawesi Tengah;0
4/1/2020;Sulawesi Tenggara;0
4/1/2020;Sulawesi Utara;2
4/1/2020;Sumatera Barat;0
4/1/2020;Sumatera Selatan;0
4/1/2020;Sumatera Utara;2
4/2/2020;Aceh;0
4/2/2020;Bali;0
4/2/2020;Banten;6
4/2/2020;Bengkulu;0
4/2/2020;DKI Jakarta;70
4/2/2020;Daerah Istimewa Yogyakarta;0
4/2/2020;Indonesia;113
4/2/2020;Jambi;0
4/2/2020;Jawa Barat;15
4/2/2020;Jawa Tengah;5
4/2/2020;Jawa Timur;0
4/2/2020;Kalimantan Barat;0
4/2/2020;Kalimantan Selatan;0
4/2/2020;Kalimantan Tengah;0
4/2/2020;Kalimantan Timur;0
4/2/2020;Kalimantan Utara;0
4/2/2020;Kepulauan Bangka Belitung;0
4/2/2020;Kepulauan Riau;2
4/2/2020;Lampung;0
4/2/2020;Maluku;0
4/2/2020;Maluku Utara;0
4/2/2020;Nusa Tenggara Barat;0
4/2/2020;Papua;0
4/2/2020;Papua Barat;0
4/2/2020;Riau;4
4/2/2020;Sulawesi Barat;0
4/2/2020;Sulawesi Selatan;0
4/2/2020;Sulawesi Tengah;0
4/2/2020;Sulawesi Tenggara;0
4/2/2020;Sulawesi Utara;0
4/2/2020;Sumatera Barat;0
4/2/2020;Sumatera Selatan;6
4/2/2020;Sumatera Utara;0
4/3/2020;Aceh;0
4/3/2020;Bali;3
4/3/2020;Banten;4
4/3/2020;Bengkulu;1
4/3/2020;DKI Jakarta;71
4/3/2020;Daerah Istimewa Yogyakarta;0
4/3/2020;Indonesia;196
4/3/2020;Jambi;0
4/3/2020;Jawa Barat;2
4/3/2020;Jawa Tengah;19
4/3/2020;Jawa Timur;47
4/3/2020;Kalimantan Barat;0
4/3/2020;Kalimantan Selatan;0
4/3/2020;Kalimantan Tengah;2
4/3/2020;Kalimantan Timur;1
4/3/2020;Kalimantan Utara;6
4/3/2020;Kepulauan Bangka Belitung;0
4/3/2020;Kepulauan Riau;2
4/3/2020;Lampung;3
4/3/2020;Maluku;0
4/3/2020;Maluku Utara;0
4/3/2020;Nusa Tenggara Barat;0
4/3/2020;Papua;6
4/3/2020;Papua Barat;0
4/3/2020;Riau;3
4/3/2020;Sulawesi Barat;1
4/3/2020;Sulawesi Selatan;15
4/3/2020;Sulawesi Tengah;2
4/3/2020;Sulawesi Tenggara;2
4/3/2020;Sulawesi Utara;0
4/3/2020;Sumatera Barat;0
4/3/2020;Sumatera Selatan;1
4/3/2020;Sumatera Utara;0
4/4/2020;Aceh;0
4/4/2020;Bali;5
4/4/2020;Banten;3
4/4/2020;Bengkulu;0
4/4/2020;DKI Jakarta;57
4/4/2020;Daerah Istimewa Yogyakarta;5
4/4/2020;Indonesia;106
4/4/2020;Jambi;0
4/4/2020;Jawa Barat;20
4/4/2020;Jawa Tengah;15
4/4/2020;Jawa Timur;5
4/4/2020;Kalimantan Barat;0
4/4/2020;Kalimantan Selatan;0
4/4/2020;Kalimantan Tengah;1
4/4/2020;Kalimantan Timur;2
4/4/2020;Kalimantan Utara;0
4/4/2020;Kepulauan Bangka Belitung;0
4/4/2020;Kepulauan Riau;0
4/4/2020;Lampung;0
4/4/2020;Maluku;0
4/4/2020;Maluku Utara;0
4/4/2020;Nusa Tenggara Barat;0
4/4/2020;Papua;2
4/4/2020;Papua Barat;0
4/4/2020;Riau;0
4/4/2020;Sulawesi Barat;0
4/4/2020;Sulawesi Selatan;0
4/4/2020;Sulawesi Tengah;0
4/4/2020;Sulawesi Tenggara;0
4/4/2020;Sulawesi Utara;0
4/4/2020;Sumatera Barat;0
4/4/2020;Sumatera Selatan;0
4/4/2020;Sumatera Utara;3
4/5/2020;Aceh;0
4/5/2020;Bali;5
4/5/2020;Banten;4
4/5/2020;Bengkulu;0
4/5/2020;DKI Jakarta;87
4/5/2020;Daerah Istimewa Yogyakarta;1
4/5/2020;Indonesia;181
4/5/2020;Jambi;0
4/5/2020;Jawa Barat;6
4/5/2020;Jawa Tengah;3
4/5/2020;Jawa Timur;35
4/5/2020;Kalimantan Barat;0
4/5/2020;Kalimantan Selatan;8
4/5/2020;Kalimantan Tengah;0
4/5/2020;Kalimantan Timur;1
4/5/2020;Kalimantan Utara;0
4/5/2020;Kepulauan Bangka Belitung;0
4/5/2020;Kepulauan Riau;1
4/5/2020;Lampung;0
4/5/2020;Maluku;0
4/5/2020;Maluku Utara;0
4/5/2020;Nusa Tenggara Barat;0
4/5/2020;Papua;8
4/5/2020;Papua Barat;0
4/5/2020;Riau;1
4/5/2020;Sulawesi Barat;0
4/5/2020;Sulawesi Selatan;2
4/5/2020;Sulawesi Tengah;1
4/5/2020;Sulawesi Tenggara;0
4/5/2020;Sulawesi Utara;0
4/5/2020;Sumatera Barat;0
4/5/2020;Sumatera Selatan;4
4/5/2020;Sumatera Utara;0
4/6/2020;Aceh;0
4/6/2020;Bali;7
4/6/2020;Banten;11
4/6/2020;Bengkulu;0
4/6/2020;DKI Jakarta;103
4/6/2020;Daerah Istimewa Yogyakarta;3
4/6/2020;Indonesia;218
4/6/2020;Jambi;0
4/6/2020;Jawa Barat;10
4/6/2020;Jawa Tengah;19
4/6/2020;Jawa Timur;9
4/6/2020;Kalimantan Barat;0
4/6/2020;Kalimantan Selatan;2
4/6/2020;Kalimantan Tengah;9
4/6/2020;Kalimantan Timur;6
4/6/2020;Kalimantan Utara;7
4/6/2020;Kepulauan Bangka Belitung;0
4/6/2020;Kepulauan Riau;0
4/6/2020;Lampung;1
4/6/2020;Maluku;0
4/6/2020;Maluku Utara;0
4/6/2020;Nusa Tenggara Barat;3
4/6/2020;Papua;0
4/6/2020;Papua Barat;0
4/6/2020;Riau;1
4/6/2020;Sulawesi Barat;0
4/6/2020;Sulawesi Selatan;29
4/6/2020;Sulawesi Tengah;0
4/6/2020;Sulawesi Tenggara;1
4/6/2020;Sulawesi Utara;2
4/6/2020;Sumatera Barat;10
4/6/2020;Sumatera Selatan;0
4/6/2020;Sumatera Utara;1
4/7/2020;Aceh;0
4/7/2020;Bali;0
4/7/2020;Banten;6
4/7/2020;Bengkulu;0
4/7/2020;DKI Jakarta;113
4/7/2020;Daerah Istimewa Yogyakarta;1
4/7/2020;Indonesia;247
4/7/2020;Jambi;0
4/7/2020;Jawa Barat;76
4/7/2020;Jawa Tengah;8
4/7/2020;Jawa Timur;5
4/7/2020;Kalimantan Barat;1
4/7/2020;Kalimantan Selatan;0
4/7/2020;Kalimantan Tengah;1
4/7/2020;Kalimantan Timur;0
4/7/2020;Kalimantan Utara;0
4/7/2020;Kepulauan Bangka Belitung;0
4/7/2020;Kepulauan Riau;0
4/7/2020;Lampung;0
4/7/2020;Maluku;0
4/7/2020;Maluku Utara;0
4/7/2020;Nusa Tenggara Barat;0
4/7/2020;Papua;0
4/7/2020;Papua Barat;0
4/7/2020;Riau;0
4/7/2020;Sulawesi Barat;0
4/7/2020;Sulawesi Selatan;10
4/7/2020;Sulawesi Tengah;0
4/7/2020;Sulawesi Tenggara;0
4/7/2020;Sulawesi Utara;3
4/7/2020;Sumatera Barat;0
4/7/2020;Sumatera Selatan;0
4/7/2020;Sumatera Utara;0
4/8/2020;Aceh;0
4/8/2020;Bali;6
4/8/2020;Banten;19
4/8/2020;Bengkulu;0
4/8/2020;DKI Jakarta;90
4/8/2020;Daerah Istimewa Yogyakarta;4
4/8/2020;Indonesia;218
4/8/2020;Jambi;0
4/8/2020;Jawa Barat;22
4/8/2020;Jawa Tengah;15
4/8/2020;Jawa Timur;15
4/8/2020;Kalimantan Barat;0
4/8/2020;Kalimantan Selatan;4
4/8/2020;Kalimantan Tengah;0
4/8/2020;Kalimantan Timur;1
4/8/2020;Kalimantan Utara;1
4/8/2020;Kepulauan Bangka Belitung;1
4/8/2020;Kepulauan Riau;0
4/8/2020;Lampung;3
4/8/2020;Maluku;2
4/8/2020;Maluku Utara;1
4/8/2020;Nusa Tenggara Barat;0
4/8/2020;Papua;11
4/8/2020;Papua Barat;0
4/8/2020;Riau;0
4/8/2020;Sulawesi Barat;0
4/8/2020;Sulawesi Selatan;5
4/8/2020;Sulawesi Tengah;0
4/8/2020;Sulawesi Tenggara;4
4/8/2020;Sulawesi Utara;0
4/8/2020;Sumatera Barat;0
4/8/2020;Sumatera Selatan;0
4/8/2020;Sumatera Utara;29
4/9/2020;Aceh;0
4/9/2020;Bali;14
4/9/2020;Banten;4
4/9/2020;Bengkulu;2
4/9/2020;DKI Jakarta;228
4/9/2020;Daerah Istimewa Yogyakarta;3
4/9/2020;Indonesia;337
4/9/2020;Jambi;0
4/9/2020;Jawa Barat;12
4/9/2020;Jawa Tengah;11
4/9/2020;Jawa Timur;36
4/9/2020;Kalimantan Barat;0
4/9/2020;Kalimantan Selatan;0
4/9/2020;Kalimantan Tengah;0
4/9/2020;Kalimantan Timur;1
4/9/2020;Kalimantan Utara;0
4/9/2020;Kepulauan Bangka Belitung;1
4/9/2020;Kepulauan Riau;11
4/9/2020;Lampung;1
4/9/2020;Maluku;0
4/9/2020;Maluku Utara;0
4/9/2020;Nusa Tenggara Barat;6
4/9/2020;Nusa Tenggara Timur;1
4/9/2020;Papua;0
4/9/2020;Papua Barat;0
4/9/2020;Riau;1
4/9/2020;Sulawesi Barat;0
4/9/2020;Sulawesi Selatan;6
4/9/2020;Sulawesi Tengah;0
4/9/2020;Sulawesi Tenggara;5
4/9/2020;Sulawesi Utara;0
4/9/2020;Sumatera Barat;0
4/9/2020;Sumatera Selatan;1
4/9/2020;Sumatera Utara;0
4/10/2020;Aceh;0
4/10/2020;Bali;12
4/10/2020;Banten;21
4/10/2020;Bengkulu;0
4/10/2020;DKI Jakarta;53
4/10/2020;Daerah Istimewa Yogyakarta;3
4/10/2020;Gorontalo;1
4/10/2020;Indonesia;219
4/10/2020;Jambi;0
4/10/2020;Jawa Barat;10
4/10/2020;Jawa Tengah;2
4/10/2020;Jawa Timur;30
4/10/2020;Kalimantan Barat;0
4/10/2020;Kalimantan Selatan;7
4/10/2020;Kalimantan Tengah;4
4/10/2020;Kalimantan Timur;4
4/10/2020;Kalimantan Utara;0
4/10/2020;Kepulauan Bangka Belitung;0
4/10/2020;Kepulauan Riau;0
4/10/2020;Lampung;5
4/10/2020;Maluku;0
4/10/2020;Maluku Utara;0
4/10/2020;Nusa Tenggara Barat;9
4/10/2020;Nusa Tenggara Timur;0
4/10/2020;Papua;0
4/10/2020;Papua Barat;0
4/10/2020;Riau;1
4/10/2020;Sulawesi Barat;1
4/10/2020;Sulawesi Selatan;33
4/10/2020;Sulawesi Tengah;9
4/10/2020;Sulawesi Tenggara;0
4/10/2020;Sulawesi Utara;5
4/10/2020;Sumatera Barat;13
4/10/2020;Sumatera Selatan;1
4/10/2020;Sumatera Utara;7
4/11/2020;Aceh;0
4/11/2020;Bali;4
4/11/2020;Banten;31
4/11/2020;Bengkulu;0
4/11/2020;DKI Jakarta;190
4/11/2020;Daerah Istimewa Yogyakarta;0
4/11/2020;Gorontalo;0
4/11/2020;Indonesia;330
4/11/2020;Jambi;2
4/11/2020;Jawa Barat;29
4/11/2020;Jawa Tengah;7
4/11/2020;Jawa Timur;15
4/11/2020;Kalimantan Barat;0
4/11/2020;Kalimantan Selatan;0
4/11/2020;Kalimantan Tengah;0
4/11/2020;Kalimantan Timur;0
4/11/2020;Kalimantan Utara;0
4/11/2020;Kepulauan Bangka Belitung;1
4/11/2020;Kepulauan Riau;0
4/11/2020;Lampung;0
4/11/2020;Maluku;0
4/11/2020;Maluku Utara;0
4/11/2020;Nusa Tenggara Barat;2
4/11/2020;Nusa Tenggara Timur;0
4/11/2020;Papua;24
4/11/2020;Papua Barat;0
4/11/2020;Riau;3
4/11/2020;Sulawesi Barat;2
4/11/2020;Sulawesi Selatan;11
4/11/2020;Sulawesi Tengah;5
4/11/2020;Sulawesi Tenggara;1
4/11/2020;Sulawesi Utara;0
4/11/2020;Sumatera Barat;0
4/11/2020;Sumatera Selatan;0
4/11/2020;Sumatera Utara;0
4/12/2020;Aceh;0
4/12/2020;Bali;2
4/12/2020;Banten;2
4/12/2020;Bengkulu;0
4/12/2020;DKI Jakarta;156
4/12/2020;Daerah Istimewa Yogyakarta;1
4/12/2020;Gorontalo;0
4/12/2020;Indonesia;399
4/12/2020;Jambi;0
4/12/2020;Jawa Barat;17
4/12/2020;Jawa Tengah;57
4/12/2020;Jawa Timur;111
4/12/2020;Kalimantan Barat;3
4/12/2020;Kalimantan Selatan;5
4/12/2020;Kalimantan Tengah;0
4/12/2020;Kalimantan Timur;0
4/12/2020;Kalimantan Utara;0
4/12/2020;Kepulauan Bangka Belitung;0
4/12/2020;Kepulauan Riau;0
4/12/2020;Lampung;0
4/12/2020;Maluku;8
4/12/2020;Maluku Utara;0
4/12/2020;Nusa Tenggara Barat;9
4/12/2020;Nusa Tenggara Timur;0
4/12/2020;Papua;1
4/12/2020;Papua Barat;0
4/12/2020;Riau;0
